#  E (eV)   dos(E)     Int dos(E)
   15.096580041  0.45433952E+01  0.57014286E+02
   15.232636972  0.22271975E+01  0.57317312E+02
   15.368693903  0.12133454E+01  0.57482396E+02
   15.504750834  0.10055894E+01  0.57619213E+02
   15.640807766  0.10523449E+01  0.57762392E+02
   15.776864697  0.13805476E+01  0.57950225E+02
   15.912921628  0.23928064E+01  0.58275783E+02
   16.048978559  0.32462834E+01  0.58717462E+02
   16.185035491  0.33624537E+01  0.59174947E+02
   16.321092422  0.32885932E+01  0.59622383E+02
   16.457149353  0.33172548E+01  0.60073719E+02
   16.593206284  0.30288335E+01  0.60485813E+02
   16.729263216  0.26206117E+01  0.60842365E+02
   16.865320147  0.23340672E+01  0.61159931E+02
   17.001377078  0.20768313E+01  0.61442498E+02
   17.137434009  0.17260475E+01  0.61677339E+02
   17.273490940  0.14525785E+01  0.61874972E+02
   17.409547872  0.15074761E+01  0.62080075E+02
   17.545604803  0.19835628E+01  0.62349952E+02
   17.681661734  0.27810761E+01  0.62728337E+02
   17.817718665  0.33932390E+01  0.63190011E+02
   17.953775597  0.36976105E+01  0.63693096E+02
   18.089832528  0.40991044E+01  0.64250808E+02
   18.225889459  0.36546440E+01  0.64748047E+02
   18.361946390  0.28583802E+01  0.65136950E+02
   18.498003322  0.26900054E+01  0.65502944E+02
   18.634060253  0.29388894E+01  0.65902800E+02
   18.770117184  0.34345445E+01  0.66370094E+02
   18.906174115  0.35352620E+01  0.66851091E+02
   19.042231046  0.31954414E+01  0.67285853E+02
   19.178287978  0.29342461E+01  0.67685077E+02
   19.314344909  0.28445004E+01  0.68072091E+02
   19.450401840  0.31135084E+01  0.68495705E+02
   19.586458771  0.32793732E+01  0.68941887E+02
   19.722515703  0.29365947E+01  0.69341431E+02
   19.858572634  0.24825446E+01  0.69679198E+02
   19.994629565  0.23448089E+01  0.69998226E+02
   20.130686496  0.22993429E+01  0.70311067E+02
   20.266743428  0.23546920E+01  0.70631440E+02
   20.402800359  0.25432240E+01  0.70977463E+02
   20.538857290  0.26467929E+01  0.71337577E+02
   20.674914221  0.24933602E+01  0.71676816E+02
   20.810971152  0.23914044E+01  0.72002183E+02
   20.947028084  0.25508729E+01  0.72349247E+02
   21.083085015  0.29611494E+01  0.72752132E+02
   21.219141946  0.33792582E+01  0.73211904E+02
   21.355198877  0.30919168E+01  0.73632580E+02
   21.491255809  0.29434834E+01  0.74033062E+02
   21.627312740  0.28008244E+01  0.74414133E+02
   21.763369671  0.22688122E+01  0.74722821E+02
